Product ID,Title,Price ($),Original Price ($),Savings (%),Rating (★),Reviews,Orders,Category,URL,Image URL,Search Keyword,Scraped Date,Profit Margin (%)
10050000000,Elite TWS Earphones Noise Canceling Waterproof,27.15,48.46,44,4.3,159,24749,Electronics,https://www.aliexpress.com/item/10050000000.html,https://ae01.alicdn.com/kf/g0-447595-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000001,Elite Wireless Earbuds Bluetooth 5.3 Headphones,30.21,49.16,39,4.2,641,32190,Electronics,https://www.aliexpress.com/item/10050000001.html,https://ae01.alicdn.com/kf/g0-500375-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000002,Wireless Ultra Sport Earbuds With Charging Case,10.44,19.12,45,4.4,3398,34748,Electronics,https://www.aliexpress.com/item/10050000002.html,https://ae01.alicdn.com/kf/g0-245294-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000003,X TWS Earphones Noise Canceling Waterproof,29.39,59.01,50,4.0,4682,19671,Electronics,https://www.aliexpress.com/item/10050000003.html,https://ae01.alicdn.com/kf/g0-898871-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000004,Premium Wave Earphones Wireless Charging,38.52,49.02,21,3.7,2616,31971,Electronics,https://www.aliexpress.com/item/10050000004.html,https://ae01.alicdn.com/kf/g0-271862-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000005,Premium Max Earphones Wireless Charging,59.60,75.87,21,5.0,4079,10160,Electronics,https://www.aliexpress.com/item/10050000005.html,https://ae01.alicdn.com/kf/g0-642475-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000006,Premium Wave Earphones Wireless Charging,39.06,92.28,58,4.6,2995,4535,Electronics,https://www.aliexpress.com/item/10050000006.html,https://ae01.alicdn.com/kf/g0-945287-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000007,Wireless Elite Sport Earbuds With Charging Case,37.70,49.88,24,4.3,2043,44937,Electronics,https://www.aliexpress.com/item/10050000007.html,https://ae01.alicdn.com/kf/g0-696483-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000008,Premium X Earphones Wireless Charging,31.69,54.66,42,4.5,3749,23884,Electronics,https://www.aliexpress.com/item/10050000008.html,https://ae01.alicdn.com/kf/g0-418925-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000009,X TWS Earphones Noise Canceling Waterproof,58.21,89.47,35,5.0,931,41867,Electronics,https://www.aliexpress.com/item/10050000009.html,https://ae01.alicdn.com/kf/g0-483337-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000010,X Wireless Earbuds Bluetooth 5.3 Headphones,52.83,71.90,27,4.4,423,16020,Electronics,https://www.aliexpress.com/item/10050000010.html,https://ae01.alicdn.com/kf/g0-502072-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000011,Max Bluetooth Earbuds Stereo Sound,18.17,26.86,32,5.0,4502,37553,Electronics,https://www.aliexpress.com/item/10050000011.html,https://ae01.alicdn.com/kf/g0-144295-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000012,Wave Wireless Earbuds Bluetooth 5.3 Headphones,30.70,65.33,53,3.7,3002,40769,Electronics,https://www.aliexpress.com/item/10050000012.html,https://ae01.alicdn.com/kf/g0-935481-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000013,Air Bluetooth Earbuds Stereo Sound,53.42,74.45,28,4.6,1886,32095,Electronics,https://www.aliexpress.com/item/10050000013.html,https://ae01.alicdn.com/kf/g0-611789-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000014,Premium X Earphones Wireless Charging,25.96,52.96,51,4.1,3925,30979,Electronics,https://www.aliexpress.com/item/10050000014.html,https://ae01.alicdn.com/kf/g0-647198-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000015,Elite TWS Earphones Noise Canceling Waterproof,12.53,18.79,33,4.5,2603,8876,Electronics,https://www.aliexpress.com/item/10050000015.html,https://ae01.alicdn.com/kf/g0-717540-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000016,Pro Bluetooth Earbuds Stereo Sound,25.59,62.45,59,4.9,2096,23357,Electronics,https://www.aliexpress.com/item/10050000016.html,https://ae01.alicdn.com/kf/g0-178101-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000017,Air TWS Earphones Noise Canceling Waterproof,45.39,70.74,36,3.5,3846,19534,Electronics,https://www.aliexpress.com/item/10050000017.html,https://ae01.alicdn.com/kf/g0-313788-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000018,Air Bluetooth Earbuds Stereo Sound,17.76,41.97,58,3.6,659,20581,Electronics,https://www.aliexpress.com/item/10050000018.html,https://ae01.alicdn.com/kf/g0-664428-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
10050000019,Pro Bluetooth Earbuds Stereo Sound,29.37,49.06,40,3.9,3806,25279,Electronics,https://www.aliexpress.com/item/10050000019.html,https://ae01.alicdn.com/kf/g0-531999-L.jpg,wireless earbuds,2026-02-05 23:08:57,60
